WiFi_Transmitter_ID,WiFi_Transmitter_PE_ID,WiFi_Receiver_ID,WiFi_Receiver_PE_ID,lag_detection_ID,lag_detection_PE_ID,SC-T_ID,SC-T_PE_ID,SC-R_ID,SC-R_PE_ID,Temporal_Mitigation_ID,Temporal_Mitigation_PE_ID,ACUMEN_ID,ACUMEN_PE_ID
0,2,0,6,0,0,0,5,0,6,0,0,0,2
1,2,1,1,1,1,1,7,1,4,1,0,1,2
2,2,2,2,2,3,2,5,2,6,2,0,2,2
3,2,3,2,3,2,3,5,3,5,3,2,3,2
4,2,4,2,4,3,4,4,4,6,4,2,4,3
5,2,5,2,5,3,5,7,5,6,5,2,5,3
6,2,6,1,6,3,6,6,6,32,6,3,6,6
7,2,7,1,,,7,33,7,7,7,3,7,0
8,2,8,2,,,,,,,8,3,8,3
9,2,9,2,,,,,,,9,3,,
10,2,10,2,,,,,,,,,,
11,2,11,2,,,,,,,,,,
12,2,12,1,,,,,,,,,,
13,2,13,1,,,,,,,,,,
14,3,14,3,,,,,,,,,,
15,2,15,3,,,,,,,,,,
16,2,16,3,,,,,,,,,,
17,3,17,3,,,,,,,,,,
18,3,18,1,,,,,,,,,,
19,3,19,1,,,,,,,,,,
20,2,20,2,,,,,,,,,,
21,3,21,2,,,,,,,,,,
22,3,22,2,,,,,,,,,,
23,3,23,2,,,,,,,,,,
24,3,24,1,,,,,,,,,,
25,3,25,1,,,,,,,,,,
26,0,26,2,,,,,,,,,,
,,27,2,,,,,,,,,,
,,28,2,,,,,,,,,,
,,29,2,,,,,,,,,,
,,30,1,,,,,,,,,,
,,31,5,,,,,,,,,,
,,32,3,,,,,,,,,,
,,33,1,,,,,,,,,,
